312,305,477,455,0.90,rubik-s cube
314,304,478,454,0.90,rubik-s cube
316,304,479,453,0.89,rubik-s cube
319,305,478,449,0.90,rubik-s cube
321,302,479,451,0.90,rubik-s cube
326,304,480,447,0.91,rubik-s cube
326,300,480,444,0.90,rubik-s cube
326,303,481,446,0.91,rubik-s cube
327,303,478,445,0.91,rubik-s cube
324,301,479,446,0.91,rubik-s cube
328,304,479,444,0.91,rubik-s cube
323,303,475,439,0.91,rubik-s cube
321,303,474,442,0.90,rubik-s cube
325,304,479,442,0.90,rubik-s cube
325,304,482,446,0.90,rubik-s cube
325,305,482,446,0.90,rubik-s cube
325,303,483,445,0.90,rubik-s cube
324,305,483,448,0.91,rubik-s cube
327,305,485,448,0.90,rubik-s cube
327,304,483,445,0.91,rubik-s cube
90,272,218,379,0.65,phone
0,288,82,410,0.80,rubik-s cube
0,286,86,411,0.81,rubik-s cube
0,286,100,402,0.53,phone
0,289,97,399,0.70,rubik-s cube
0,287,107,406,0.89,rubik-s cube
1,287,112,407,0.87,rubik-s cube
0,285,113,406,0.89,rubik-s cube
1,283,116,404,0.90,rubik-s cube
0,283,117,405,0.90,rubik-s cube
0,282,115,401,0.90,rubik-s cube
0,280,115,400,0.89,rubik-s cube
0,280,114,399,0.89,rubik-s cube
0,280,115,398,0.90,rubik-s cube
0,282,112,390,0.83,rubik-s cube
0,278,113,397,0.90,rubik-s cube
0,277,118,388,0.71,rubik-s cube
0,268,133,379,0.70,phone
0,382,119,480,0.58,Ball
232,44,491,438,0.46,Ball
256,31,517,469,0.30,Ball
52,426,191,480,0.43,phone
0,232,226,396,0.30,Pen
65,394,201,480,0.40,phone
0,272,256,372,0.29,Pen
0,195,245,330,0.30,Pen
89,388,204,480,0.49,phone
0,262,260,362,0.30,Pen
100,378,198,480,0.50,phone
5,217,250,334,0.29,Pen
280,47,537,453,0.37,phone
289,50,528,442,0.26,Ball
78,103,360,456,0.39,phone
131,144,343,468,0.41,phone
208,166,382,457,0.75,phone
194,175,366,417,0.63,phone
156,155,405,393,0.36,phone
105,56,564,446,0.59,phone
155,148,333,456,0.35,phone
159,153,336,453,0.39,phone
157,147,336,455,0.35,phone
134,114,323,375,0.29,phone
130,96,310,430,0.41,phone
130,102,312,388,0.26,phone
130,115,317,416,0.27,phone
129,113,318,420,0.32,phone
137,119,320,405,0.34,phone
139,124,316,403,0.31,phone
136,126,321,405,0.30,phone
114,105,298,428,0.39,phone
82,439,140,480,0.27,phone
114,0,328,479,0.29,phone
118,9,337,470,0.45,phone
113,21,323,477,0.42,phone
117,22,321,474,0.47,phone
115,20,325,478,0.50,phone
123,16,336,473,0.50,phone
121,15,339,472,0.51,phone
136,23,337,473,0.62,phone
138,25,339,473,0.57,phone
136,26,341,472,0.57,phone
138,23,342,476,0.55,phone
135,25,343,471,0.55,phone
135,23,344,475,0.53,phone
134,26,345,477,0.57,phone
138,22,345,478,0.50,phone
137,26,345,473,0.35,phone
143,26,348,473,0.47,phone
144,26,351,475,0.36,phone
149,28,351,473,0.30,phone
144,32,352,468,0.34,phone
135,39,355,466,0.53,phone
135,38,359,469,0.67,phone
133,35,361,473,0.64,phone
133,38,357,473,0.70,phone
139,42,360,479,0.66,phone
135,47,406,480,0.64,phone
138,40,389,480,0.63,phone
149,37,381,472,0.51,phone
141,40,383,480,0.55,phone
135,32,362,472,0.51,phone
139,42,360,480,0.59,phone
146,46,370,480,0.53,phone
144,44,381,480,0.53,phone
147,44,385,480,0.56,phone
146,46,396,480,0.53,phone
150,44,381,480,0.48,phone
148,46,375,480,0.48,phone
138,35,357,469,0.36,phone
136,42,353,480,0.37,phone
141,44,359,480,0.64,phone
144,46,358,480,0.64,phone
136,59,349,480,0.62,phone
136,60,340,480,0.67,phone
137,64,338,480,0.73,phone
137,58,346,480,0.72,phone
136,60,340,480,0.72,phone
136,54,333,480,0.72,phone
141,58,341,480,0.60,phone
122,60,329,480,0.51,phone
123,66,327,480,0.72,phone
123,63,327,480,0.75,phone
122,58,329,480,0.68,phone
123,59,328,478,0.75,phone
126,60,327,480,0.70,phone
125,58,329,480,0.72,phone
128,55,329,479,0.69,phone
133,43,333,475,0.49,phone
126,59,328,480,0.68,phone
124,60,329,480,0.70,phone
130,41,334,479,0.66,phone
130,47,333,480,0.70,phone
132,42,335,479,0.74,phone
133,54,341,480,0.72,phone
135,52,341,480,0.72,phone
129,54,333,480,0.74,phone
138,58,340,480,0.72,phone
137,54,342,480,0.72,phone
130,46,350,480,0.61,phone
135,42,361,480,0.49,phone
143,51,365,480,0.56,phone
144,61,358,480,0.64,phone
138,54,357,480,0.63,phone
130,61,352,480,0.67,phone
126,51,353,480,0.66,phone
133,53,347,480,0.69,phone
134,60,350,480,0.65,phone
129,56,352,480,0.67,phone
104,71,638,480,0.26,phone
131,56,355,480,0.70,phone
102,69,640,480,0.30,phone
137,59,351,480,0.68,phone
135,58,349,480,0.62,phone
133,57,353,480,0.64,phone
135,60,348,480,0.66,phone
133,55,349,480,0.67,phone
137,59,349,480,0.68,phone
138,57,349,480,0.67,phone
144,52,345,472,0.56,phone
146,54,350,480,0.57,phone
147,59,352,480,0.57,phone
149,60,356,480,0.68,phone
146,55,350,480,0.61,phone
145,64,347,480,0.57,phone
146,68,346,480,0.60,phone
148,66,350,480,0.57,phone
155,64,356,480,0.56,phone
149,58,358,480,0.57,phone
149,58,357,480,0.57,phone
156,52,368,480,0.40,phone
159,52,375,480,0.51,phone
152,50,371,480,0.46,phone
157,51,371,480,0.48,phone
163,55,376,480,0.54,phone
158,53,380,480,0.63,phone
162,60,383,480,0.44,phone
0,345,256,480,0.26,Ball
124,9,429,428,0.26,Ball
0,14,631,478,0.35,Ball
0,69,532,480,0.41,Ball
0,0,630,480,0.42,Ball
11,69,640,480,0.27,Ball
346,8,596,319,0.39,Ball
298,323,418,480,0.26,phone
318,338,424,479,0.27,phone
324,323,434,458,0.37,phone
269,8,640,479,0.26,phone
274,3,640,480,0.29,phone
411,0,640,476,0.54,phone
271,0,640,370,0.29,phone
450,3,640,471,0.26,Ball
423,114,627,366,0.28,Ball
441,361,636,480,0.33,Ball
342,385,534,480,0.69,Ball
338,316,559,479,0.32,Ball
362,312,595,479,0.59,Ball
368,306,611,480,0.41,Ball
340,299,578,480,0.39,Ball
307,131,504,432,0.39,Ball
280,132,457,408,0.53,Ball
184,162,312,274,0.58,Ball
178,153,304,263,0.76,Ball
178,149,292,250,0.77,Ball
174,142,291,248,0.74,Ball
152,146,293,251,0.73,Ball
193,151,295,252,0.85,Ball
192,150,294,255,0.83,Ball
181,149,284,253,0.73,Ball
176,148,281,252,0.76,Ball
178,148,282,251,0.74,Ball
183,150,282,252,0.79,Ball
180,149,281,256,0.76,Ball
181,151,286,255,0.77,Ball
180,152,285,256,0.73,Ball
175,151,277,259,0.74,Ball
99,165,261,314,0.64,Ball
176,157,270,255,0.46,Ball
174,156,266,250,0.52,Ball
169,156,259,255,0.45,Ball
166,155,253,251,0.35,Ball
162,155,252,257,0.30,Ball
180,156,278,263,0.25,Ball
173,154,272,252,0.25,Ball
77,300,238,439,0.80,Ball
69,297,229,434,0.84,Ball
75,262,225,391,0.82,Ball
79,230,216,348,0.65,Ball
87,216,220,331,0.83,Ball
82,217,215,338,0.81,Ball
82,216,214,337,0.83,Ball
81,218,210,338,0.77,Ball
81,217,211,338,0.82,Ball
79,220,209,339,0.77,Ball
77,220,207,342,0.77,Ball
76,220,206,340,0.74,Ball
76,219,206,339,0.82,Ball
75,220,208,340,0.72,Ball
72,219,205,333,0.78,Ball
38,213,165,316,0.26,Ball
152,202,276,309,0.29,Ball
142,199,270,308,0.41,Ball
144,201,272,315,0.45,Ball
145,200,273,314,0.47,Ball
145,201,271,314,0.44,Ball
143,200,270,313,0.31,Ball
142,200,269,314,0.53,Ball
142,199,269,311,0.48,Ball
141,200,268,314,0.59,Ball
135,197,262,308,0.54,Ball
137,179,257,288,0.78,Ball
141,173,259,276,0.51,Ball
150,160,258,270,0.28,Ball
149,156,255,264,0.33,Ball
149,155,254,261,0.45,Ball
146,155,254,261,0.60,Ball
140,157,252,264,0.33,Ball
140,162,251,271,0.39,Ball
143,167,252,274,0.35,Ball
141,167,253,271,0.41,Ball
135,169,250,274,0.34,Ball
135,168,248,273,0.52,Ball
136,168,249,274,0.40,Ball
135,169,248,278,0.36,Ball
130,166,244,269,0.56,Ball
136,169,248,275,0.55,Ball
135,168,247,275,0.52,Ball
134,168,246,273,0.55,Ball
136,168,247,273,0.57,Ball
135,168,245,276,0.41,Ball
133,168,245,275,0.60,Ball
136,168,246,272,0.47,Ball
145,167,249,271,0.43,Ball
146,167,247,274,0.33,Ball
264,111,459,365,0.26,Ball
145,170,244,275,0.34,Ball
134,168,238,274,0.37,Ball
116,175,233,287,0.40,Ball
111,184,224,303,0.63,Ball
