Object: Ball, Confidence: 0.38, Bounding Box: (288, 176) - (439, 313)
Object: Ball, Confidence: 0.44, Bounding Box: (291, 177) - (440, 311)
Object: Ball, Confidence: 0.45, Bounding Box: (291, 176) - (441, 315)
Object: Ball, Confidence: 0.42, Bounding Box: (293, 176) - (440, 315)
Object: Ball, Confidence: 0.39, Bounding Box: (293, 175) - (439, 314)
Object: Ball, Confidence: 0.32, Bounding Box: (302, 176) - (434, 302)
Object: Ball, Confidence: 0.54, Bounding Box: (308, 180) - (451, 311)
Object: Ball, Confidence: 0.37, Bounding Box: (264, 189) - (410, 316)
Object: Ball, Confidence: 0.43, Bounding Box: (274, 192) - (432, 326)
Object: Ball, Confidence: 0.73, Bounding Box: (347, 197) - (472, 323)
Object: Ball, Confidence: 0.38, Bounding Box: (266, 207) - (430, 333)
Object: Ball, Confidence: 0.64, Bounding Box: (339, 207) - (457, 327)
Object: Ball, Confidence: 0.54, Bounding Box: (339, 208) - (459, 328)
Object: Ball, Confidence: 0.54, Bounding Box: (293, 211) - (444, 337)
Object: Ball, Confidence: 0.80, Bounding Box: (365, 208) - (480, 324)
Object: Ball, Confidence: 0.65, Bounding Box: (371, 207) - (485, 326)
Object: Ball, Confidence: 0.77, Bounding Box: (352, 205) - (467, 325)
Object: Ball, Confidence: 0.61, Bounding Box: (332, 204) - (450, 324)
Object: Ball, Confidence: 0.51, Bounding Box: (288, 204) - (435, 325)
Object: Ball, Confidence: 0.51, Bounding Box: (310, 202) - (442, 324)
Object: Ball, Confidence: 0.69, Bounding Box: (353, 203) - (467, 320)
Object: Ball, Confidence: 0.61, Bounding Box: (371, 205) - (484, 319)
Object: Ball, Confidence: 0.77, Bounding Box: (352, 203) - (465, 318)
Object: Ball, Confidence: 0.37, Bounding Box: (311, 196) - (427, 321)
Object: Ball, Confidence: 0.43, Bounding Box: (312, 190) - (442, 312)
Object: Ball, Confidence: 0.69, Bounding Box: (351, 194) - (462, 309)
Object: Ball, Confidence: 0.70, Bounding Box: (358, 193) - (467, 309)
Object: Ball, Confidence: 0.44, Bounding Box: (328, 192) - (440, 311)
Object: Ball, Confidence: 0.48, Bounding Box: (315, 201) - (424, 318)
Object: Ball, Confidence: 0.44, Bounding Box: (323, 201) - (437, 325)
Object: Ball, Confidence: 0.65, Bounding Box: (321, 205) - (435, 323)
Object: Ball, Confidence: 0.61, Bounding Box: (322, 204) - (435, 323)
Object: Ball, Confidence: 0.62, Bounding Box: (322, 203) - (435, 324)
Object: Ball, Confidence: 0.54, Bounding Box: (322, 202) - (437, 325)
Object: Ball, Confidence: 0.49, Bounding Box: (322, 202) - (438, 327)
Object: Ball, Confidence: 0.50, Bounding Box: (323, 198) - (436, 322)
Object: Ball, Confidence: 0.56, Bounding Box: (323, 197) - (435, 320)
Object: Ball, Confidence: 0.47, Bounding Box: (324, 193) - (441, 316)
Object: Ball, Confidence: 0.51, Bounding Box: (320, 179) - (442, 307)
Object: Ball, Confidence: 0.51, Bounding Box: (308, 161) - (446, 301)
Object: Ball, Confidence: 0.54, Bounding Box: (309, 144) - (454, 303)
Object: Ball, Confidence: 0.52, Bounding Box: (305, 119) - (488, 343)
Object: Ball, Confidence: 0.52, Bounding Box: (304, 119) - (489, 346)
Object: Ball, Confidence: 0.73, Bounding Box: (320, 118) - (487, 345)
Object: Ball, Confidence: 0.77, Bounding Box: (325, 140) - (484, 349)
Object: Ball, Confidence: 0.81, Bounding Box: (313, 146) - (478, 350)
Object: Ball, Confidence: 0.82, Bounding Box: (313, 147) - (476, 352)
Object: Ball, Confidence: 0.81, Bounding Box: (311, 148) - (477, 352)
Object: Ball, Confidence: 0.85, Bounding Box: (314, 146) - (478, 353)
Object: Ball, Confidence: 0.85, Bounding Box: (315, 147) - (479, 353)
Object: Ball, Confidence: 0.82, Bounding Box: (313, 148) - (478, 353)
Object: Ball, Confidence: 0.83, Bounding Box: (313, 149) - (478, 353)
Object: Ball, Confidence: 0.85, Bounding Box: (315, 147) - (479, 353)
Object: Ball, Confidence: 0.82, Bounding Box: (314, 154) - (477, 352)
Object: Ball, Confidence: 0.81, Bounding Box: (317, 153) - (479, 352)
Object: Ball, Confidence: 0.75, Bounding Box: (318, 147) - (481, 351)
Object: Ball, Confidence: 0.78, Bounding Box: (318, 150) - (480, 351)
Object: Ball, Confidence: 0.79, Bounding Box: (317, 147) - (480, 353)
Object: Ball, Confidence: 0.78, Bounding Box: (318, 148) - (479, 352)
Object: Ball, Confidence: 0.71, Bounding Box: (319, 146) - (481, 352)
Object: Ball, Confidence: 0.75, Bounding Box: (324, 146) - (484, 352)
Object: Ball, Confidence: 0.73, Bounding Box: (324, 146) - (484, 352)
Object: phone, Confidence: 0.26, Bounding Box: (202, 120) - (284, 350)
Object: Ball, Confidence: 0.73, Bounding Box: (323, 146) - (484, 351)
Object: Ball, Confidence: 0.73, Bounding Box: (324, 146) - (483, 351)
Object: Ball, Confidence: 0.75, Bounding Box: (325, 144) - (484, 351)
Object: Ball, Confidence: 0.82, Bounding Box: (327, 142) - (485, 350)
Object: Ball, Confidence: 0.82, Bounding Box: (328, 142) - (485, 351)
Object: Ball, Confidence: 0.83, Bounding Box: (328, 143) - (485, 351)
Object: Ball, Confidence: 0.80, Bounding Box: (328, 145) - (484, 350)
Object: Ball, Confidence: 0.80, Bounding Box: (327, 144) - (484, 351)
Object: Ball, Confidence: 0.82, Bounding Box: (329, 149) - (484, 351)
Object: Ball, Confidence: 0.79, Bounding Box: (327, 148) - (483, 350)
Object: Ball, Confidence: 0.73, Bounding Box: (325, 150) - (484, 351)
Object: Ball, Confidence: 0.82, Bounding Box: (328, 145) - (484, 350)
Object: Ball, Confidence: 0.83, Bounding Box: (328, 146) - (485, 351)
Object: Ball, Confidence: 0.83, Bounding Box: (328, 145) - (485, 350)
Object: Ball, Confidence: 0.83, Bounding Box: (329, 147) - (485, 350)
Object: Ball, Confidence: 0.84, Bounding Box: (330, 146) - (485, 349)
Object: Ball, Confidence: 0.83, Bounding Box: (329, 146) - (485, 351)
Object: Ball, Confidence: 0.83, Bounding Box: (329, 147) - (486, 349)
Object: Ball, Confidence: 0.84, Bounding Box: (329, 147) - (485, 350)
Object: Ball, Confidence: 0.81, Bounding Box: (328, 148) - (484, 350)
Object: Ball, Confidence: 0.81, Bounding Box: (318, 147) - (478, 350)
Object: Ball, Confidence: 0.62, Bounding Box: (292, 148) - (466, 352)
Object: Ball, Confidence: 0.58, Bounding Box: (264, 148) - (466, 350)
Object: Ball, Confidence: 0.60, Bounding Box: (269, 149) - (463, 349)
Object: Ball, Confidence: 0.60, Bounding Box: (269, 149) - (463, 350)
Object: Ball, Confidence: 0.58, Bounding Box: (269, 150) - (463, 350)
Object: Ball, Confidence: 0.45, Bounding Box: (281, 151) - (459, 351)
Object: Ball, Confidence: 0.49, Bounding Box: (287, 149) - (463, 352)
Object: Ball, Confidence: 0.50, Bounding Box: (288, 147) - (463, 352)
Object: Ball, Confidence: 0.50, Bounding Box: (286, 148) - (466, 352)
Object: Ball, Confidence: 0.57, Bounding Box: (291, 147) - (463, 353)
Object: Ball, Confidence: 0.67, Bounding Box: (298, 147) - (464, 353)
Object: Ball, Confidence: 0.65, Bounding Box: (297, 147) - (464, 351)
Object: Ball, Confidence: 0.64, Bounding Box: (300, 147) - (462, 352)
Object: Ball, Confidence: 0.66, Bounding Box: (299, 147) - (464, 351)
Object: Ball, Confidence: 0.69, Bounding Box: (299, 146) - (463, 353)
Object: Ball, Confidence: 0.65, Bounding Box: (299, 147) - (465, 349)
Object: Ball, Confidence: 0.65, Bounding Box: (300, 147) - (466, 351)
Object: Ball, Confidence: 0.68, Bounding Box: (301, 147) - (464, 352)
Object: Ball, Confidence: 0.68, Bounding Box: (301, 147) - (465, 353)
Object: Ball, Confidence: 0.68, Bounding Box: (302, 146) - (463, 352)
Object: Ball, Confidence: 0.70, Bounding Box: (303, 146) - (465, 351)
Object: Ball, Confidence: 0.69, Bounding Box: (305, 146) - (464, 351)
Object: Ball, Confidence: 0.71, Bounding Box: (305, 145) - (464, 350)
Object: Ball, Confidence: 0.70, Bounding Box: (305, 145) - (463, 352)
Object: Ball, Confidence: 0.65, Bounding Box: (309, 145) - (469, 351)
Object: Ball, Confidence: 0.65, Bounding Box: (304, 146) - (466, 351)
Object: Ball, Confidence: 0.63, Bounding Box: (310, 146) - (469, 352)
Object: Ball, Confidence: 0.63, Bounding Box: (304, 147) - (466, 349)
Object: Ball, Confidence: 0.66, Bounding Box: (306, 149) - (465, 352)
Object: Ball, Confidence: 0.69, Bounding Box: (312, 148) - (468, 353)
Object: Ball, Confidence: 0.78, Bounding Box: (317, 155) - (472, 351)
Object: Ball, Confidence: 0.78, Bounding Box: (318, 156) - (472, 351)
Object: Ball, Confidence: 0.78, Bounding Box: (315, 164) - (479, 353)
Object: Ball, Confidence: 0.82, Bounding Box: (332, 170) - (487, 353)
Object: Ball, Confidence: 0.36, Bounding Box: (201, 118) - (305, 352)
Object: Ball, Confidence: 0.82, Bounding Box: (333, 170) - (486, 353)
Object: Ball, Confidence: 0.48, Bounding Box: (301, 173) - (468, 353)
Object: Ball, Confidence: 0.60, Bounding Box: (276, 175) - (458, 353)
Object: Ball, Confidence: 0.62, Bounding Box: (274, 174) - (458, 353)
Object: Ball, Confidence: 0.58, Bounding Box: (277, 173) - (457, 353)
Object: Ball, Confidence: 0.57, Bounding Box: (278, 174) - (456, 353)
Object: Ball, Confidence: 0.58, Bounding Box: (280, 172) - (458, 353)
Object: Ball, Confidence: 0.61, Bounding Box: (283, 174) - (456, 353)
Object: Ball, Confidence: 0.56, Bounding Box: (281, 174) - (458, 353)
